WAV_FILE,WER,GroundTruth_Sentence,ASR_Sentence,Intent
0.wav,0.5,I'd like to listen to Sade,like listen to say,PlayMusic
1.wav,0.42857142857142855,I'd like to listen to Andreya Triana,i like to listen to audrey brianna,PlayMusic
10.wav,0.2857142857142857,I'd like to listen to Craig Cardiff,i'd like to listen to credit card,PlayMusic
100.wav,0.5714285714285714,I'd like to listen to Ana Carolina,oh to listen to and north carolina,PlayMusic
1000.wav,0.2222222222222222,I'd like to listen to 5 Seconds of Summer,like to listen to five seconds of summer,PlayMusic
1001.wav,0.42857142857142855,I'd like to listen to Jax Jones,like to listen to jokes drone,PlayMusic
1002.wav,0.42857142857142855,I'd like to listen to Ronnie Flex,like to listen to reflect,PlayMusic
1003.wav,0.42857142857142855,I'd like to listen to Prince Royce,i like to listen to parents voice,PlayMusic
1004.wav,0.42857142857142855,I'd like to listen to Romeo Santos,like listen the romeo santos,PlayMusic
1005.wav,0.42857142857142855,I'd like to listen to Kid Ink,i like to listen to kidding,PlayMusic
1006.wav,0.7142857142857143,I'd like to listen to Descemer Bueno,like to listen to disarm or i know,PlayMusic
1007.wav,0.42857142857142855,I'd like to listen to Miley Cyrus,i like to listen to nobody siren,PlayMusic
1008.wav,1.0,I'd like to listen to Sfera Ebbasta,oh my <unk>,PlayMusic
1009.wav,0.42857142857142855,I'd like to listen to Maren Morris,i like to listen to and more,PlayMusic
101.wav,0.42857142857142855,I'd like to listen to Ida Corr,i like to listen to either core,PlayMusic
1010.wav,0.14285714285714285,I'd like to listen to Frank Ocean,i like to listen to frank ocean,PlayMusic
1011.wav,0.3333333333333333,I'd like to listen to Flume,i like to listen to,PlayMusic
1012.wav,0.3333333333333333,I'd like to listen to NF,i'd like to listen and uh,PlayMusic
1013.wav,0.8571428571428571,I'd like to listen to JAY Z,like towards new jersey,PlayMusic
1014.wav,0.3333333333333333,I'd like to listen to RAYE,i like to listen to right,PlayMusic
1015.wav,0.5,I'd like to listen to Cosculluela,like to listen to costa rica,PlayMusic
1016.wav,0.42857142857142855,I'd like to listen to Louis Tomlinson,i like to listen to <unk>,PlayMusic
1017.wav,0.5714285714285714,I'd like to listen to Lil' Kleine,i like to listen doing ditch killeen,PlayMusic
1018.wav,0.5,I'd like to listen to Damso,like to listen to them so,PlayMusic
1019.wav,0.8333333333333334,I'd like to listen to Sigala,i like to listen do you go alone,PlayMusic
102.wav,0.6666666666666666,I'd like to listen to Malaka,like to to my locker,PlayMusic
1205.wav,1.0,I'd like to listen to Stormzy,do loosen almighty,PlayMusic
1206.wav,0.8571428571428571,I'd like to listen to Luan Santana,do listen to wind down uh,PlayMusic
1207.wav,0.7142857142857143,I'd like to listen to Loud Luxury,you like do listen to load drugs easy,PlayMusic
1208.wav,1.0,I'd like to listen to Mc Livinho,i do listen to m. living you know,PlayMusic
1209.wav,0.7142857142857143,I'd like to listen to El Chacal,i do listen to just,PlayMusic
121.wav,0.5454545454545454,I'd like to listen to Sallan Ja Miron Matka Maailman Ympäri,i'd like to listen to <unk>,PlayMusic
1210.wav,0.8571428571428571,I'd like to listen to Oh Wonder,like blues and do all windows,PlayMusic
1211.wav,0.8571428571428571,I'd like to listen to MC Fioti,like <unk> g. o. b.,PlayMusic
1212.wav,0.6666666666666666,I'd like to listen to Thalía,do listen to toledo,PlayMusic
1213.wav,0.5714285714285714,I'd like to listen to Ella Eyre,like to listen to l._a. i or,PlayMusic
1214.wav,0.5,I'd like to listen to Nekfeu,i like to listen to next to,PlayMusic
1215.wav,0.42857142857142855,I'd like to listen to Martin Solveig,like to listen to so survey,PlayMusic
1216.wav,0.7142857142857143,I'd like to listen to Burak Yeter,i like to listen to the rock yet or,PlayMusic
1217.wav,0.14285714285714285,I'd like to listen to The Script,like to listen to the script,PlayMusic
1218.wav,1.0,I'd like to listen to Nate Dogg,life lessons a dog,PlayMusic
1219.wav,0.2857142857142857,I'd like to listen to Ella Henderson,i like to listen to other henderson,PlayMusic
122.wav,0.5714285714285714,I'd like to listen to Ewa Farna,like to listen to you what foreigner,PlayMusic
1220.wav,0.3333333333333333,I'd like to listen to brando,i like to listen to brenda,PlayMusic
1221.wav,0.2857142857142857,I'd like to listen to Lary Over,i like to listen to larry over,PlayMusic
1222.wav,0.5714285714285714,I'd like to listen to Danelle Sandoval,i like to listen to now and all,PlayMusic
1223.wav,0.14285714285714285,I'd like to listen to Gusttavo Lima,i'd like to listen to <unk> lima,PlayMusic
1224.wav,0.2857142857142857,I'd like to listen to Chris Stapleton,i'd like to listen to chris stable can,PlayMusic
1225.wav,0.14285714285714285,I'd like to listen to Dante Klein,i'd like to listen to dante kline,PlayMusic
1226.wav,0.14285714285714285,I'd like to listen to James Blake,i'd like to listen to james bleak,PlayMusic
1227.wav,0.16666666666666666,I'd like to listen to T.I.,i'd like to listen to g._i.,PlayMusic
1228.wav,0.16666666666666666,I'd like to listen to NEIKED,i'd like to listen to nathan,PlayMusic
1229.wav,0.3333333333333333,I'd like to listen to AlunaGeorge,i'd like to listen to aluminum george,PlayMusic
123.wav,0.16666666666666666,I'd like to listen to Gimmz,i'd like to listen to games,PlayMusic
1230.wav,0.2857142857142857,I'd like to listen to Lil Xan,i'd like to listen to little then,PlayMusic
1231.wav,0.16666666666666666,I'd like to listen to Vigiland,i'd like to listen to disneyland,PlayMusic
1232.wav,0.5,I'd like to listen to Blackbear,[noise] i'd like to listen to black there,PlayMusic
1233.wav,0.3333333333333333,I'd like to listen to Gemitaiz,i like to listen to demonstrate,PlayMusic
1234.wav,0.42857142857142855,I'd like to listen to Nile Rodgers,i like to listen to narrow roger,PlayMusic
1235.wav,0.2857142857142857,I'd like to listen to Jay Rock,like to listen to a rock,PlayMusic
1236.wav,0.8333333333333334,I'd like to listen to Timeflies,i like plus to time flies,PlayMusic
1237.wav,0.42857142857142855,I'd like to listen to Calum Scott,i like to listen to while i'm scott,PlayMusic
1238.wav,0.6666666666666666,I'd like to listen to Bausa,i like to listen you're about uh,PlayMusic
1239.wav,0.6666666666666666,I'd like to listen to IAmChino,i like to listen to arms you know,PlayMusic
124.wav,0.5,I'd like to listen to Shabu,like to listen shopper,PlayMusic
1240.wav,0.2857142857142857,I'd like to listen to Rob $tone,i like to listen to rob don't,PlayMusic
1241.wav,0.5,I'd like to listen to Bizzey,i like to listen,PlayMusic
1242.wav,0.5714285714285714,I'd like to listen to Verdine White,i like to listen you're very near white,PlayMusic
1243.wav,0.2857142857142857,I'd like to listen to Mon Laferte,i'd like to listen to montana for,PlayMusic
1244.wav,0.3333333333333333,I'd like to listen to Echosmith,[noise] i'd like to listen to man,PlayMusic
1245.wav,0.8571428571428571,I'd like to listen to Jonna Fraser,i trying to rush into john frazier,PlayMusic
1246.wav,0.5,I'd like to listen to Cazzu,i tried to listen to you,PlayMusic
1247.wav,0.0,I'd like to listen to Christina Aguilera,i'd like to listen to christina aguilera,PlayMusic
1248.wav,1.0,I'd like to listen to Tinie Tempah,<unk> tiny temper,PlayMusic
1249.wav,0.14285714285714285,I'd like to listen to Alejandro Fernandez,i'd like to listen to alhambra fernandez,PlayMusic
125.wav,0.3333333333333333,I'd like to listen to Wanted,i'd like to listen to want it,PlayMusic
1250.wav,0.42857142857142855,I'd like to listen to ScHoolboy Q,i'd like to listen to school boy you,PlayMusic
1251.wav,0.2857142857142857,I'd like to listen to J. Davi$,i'd like to listen to davis,PlayMusic
1252.wav,0.16666666666666666,I'd like to listen to Spooks,i'd like to listen to folks,PlayMusic
1253.wav,0.16666666666666666,I'd like to listen to Azet,i'd like to listen to that,PlayMusic
1254.wav,0.3333333333333333,I'd like to listen to Brooks,[noise] i'd like to listen to books,PlayMusic
1255.wav,0.16666666666666666,I'd like to listen to LANY,i'd like to listen to miami,PlayMusic
1256.wav,0.16666666666666666,I'd like to listen to Shaggy,i'd like to listen to shiny,PlayMusic
1257.wav,0.42857142857142855,I'd like to listen to MC G15,i'd like to listen to m._g._m. jesus team,PlayMusic
1258.wav,0.42857142857142855,I'd like to listen to Jerry Smith,[noise] i'd like to listen to <unk>,PlayMusic
1259.wav,0.2857142857142857,I'd like to listen to Jessie Reyez,i'd like to listen to jesse races,PlayMusic
126.wav,0.25,I'd like to listen to Mark 'Spike' Stent,i'd like to listen to mark spike extent,PlayMusic
1260.wav,0.2857142857142857,I'd like to listen to Luke Combs,i'd like to listen to lose homes,PlayMusic
1261.wav,0.5714285714285714,I'd like to listen to MC WM,i'd like to listen to m. c. w. m.,PlayMusic
1262.wav,0.2857142857142857,I'd like to listen to The Lumineers,i'd like to listen to the human years,PlayMusic
1263.wav,1.0,I'd like to listen to Rich Homie Quan,listens original me huh,PlayMusic
1264.wav,0.7142857142857143,I'd like to listen to Justin Quiles,i might listen to quilt,PlayMusic
1265.wav,0.7142857142857143,I'd like to listen to Mc Zaac,i listen to that,PlayMusic
1266.wav,0.7142857142857143,I'd like to listen to Charly Black,i like listening charming black,PlayMusic
1267.wav,1.0,I'd like to listen to E-40,it be forty,PlayMusic
1268.wav,0.8571428571428571,I'd like to listen to Gue Pequeno,i like the <unk>,PlayMusic
