WAV_FILE,WER,GroundTruth_Sentence,ASR_Sentence,Intent
0.wav,0.625,Activate all the lights in the entire house.,w. lights in the in her house,SwitchLightOn
1.wav,1.0,Activate basement lights,active impeachment light,SwitchLightOn
10.wav,0.5,Adjust the bedroom light intensity to thirty nine,just the bedroom like intend to or thirty nine,SetLightBrightness
100.wav,0.5555555555555556,Can you please change the light color to pink,can you please changed the white collar being,SetLightColor
1000.wav,0.8,Set the brightness to five.,the do,SetLightBrightness
1001.wav,0.4,Set the brightness to twelve.,some brightness to twelve,SetLightBrightness
1002.wav,0.6,Set the brightness to twenty,not the brightest twenty,SetLightBrightness
1003.wav,1.0,Set the brightness to twenty two please.,and <unk>,SetLightBrightness
1004.wav,1.0,Set the cella to two,<unk> true,SetLightBrightness
1005.wav,0.5,Set the cellar light to twelve,set the cellar lights as well,SetLightBrightness
1006.wav,0.6666666666666666,Set the cellar lights to two,fellow lights to to,SetLightBrightness
1007.wav,0.8571428571428571,Set the entire appartment light to two,then <unk> like to do,SetLightBrightness
1008.wav,0.14285714285714285,Set the entrance lighting intensity to twelve,the entrance lighting intensity to twelve,SetLightBrightness
1009.wav,0.875,Set the entrance lights to a brighter setting,san diego right you right it's setting,IncreaseBrightness
101.wav,0.125,Can you please lower the lights for me,can you please lower the line for me,DecreaseBrightness
1010.wav,1.0,Set the facilities lights to thirty nine,necessity like like <unk>,SetLightBrightness
1011.wav,0.5714285714285714,Set the garden brightness to level twelve.,the garden brightness local well,SetLightBrightness
1012.wav,0.5714285714285714,Set the hallway lights to pink please.,the hallway like pink,SetLightColor
1013.wav,0.7777777777777778,Set the intensity of the toilet lighting to two,the learning to to,SetLightBrightness
1014.wav,0.14285714285714285,Set the kids bedroom lights to five,so the kids bedroom lights to five,SetLightBrightness
1015.wav,0.25,Set the laundry room lighting to ten percent,so the laundry room lying to ten percent,SetLightBrightness
1016.wav,1.0,Set the light brightness level to twenty,did that late late and level <unk>,SetLightBrightness
1017.wav,0.16666666666666666,Set the light color to blue,so the light color to blue,SetLightColor
1019.wav,0.14285714285714285,Set the lights dimmer in the office,said the lights dimmer in the office,DecreaseBrightness
102.wav,0.7777777777777778,Can you please set the bathroom lights to five?,complain about bathroom my five,SetLightBrightness
1020.wav,0.3,Set the lights in the laundry room to level two,the lights in the laundry room level too,SetLightBrightness
1021.wav,0.4444444444444444,Set the lights in the laundry room to seventy-three.,the in the laundry room to seventy three,SetLightBrightness
1022.wav,0.14285714285714285,Set the lights in toilets to red,set the lights in toilets to read,SetLightColor
1023.wav,0.7142857142857143,Set the lights to a higher intensity,satellite's too are higher intensity,IncreaseBrightness
1024.wav,0.6363636363636364,Set the lights to a higher intensity in the changing room,<unk> higher intensity and the changing,IncreaseBrightness
1025.wav,0.6363636363636364,Set the lights to a higher intensity in the living room,satellites to a higher standard of living,IncreaseBrightness
1026.wav,0.875,Set the lights to a less bright setting,<unk> last race setting,DecreaseBrightness
1027.wav,0.5714285714285714,Set the lights to a lower intensity,delays to lower intensity,DecreaseBrightness
1028.wav,0.5,Set the lights to green in the large meeting room.,the light's green and the large meeting them,SetLightColor
1268.wav,0.375,Turn the light's intensity to twenty two percent,turn the lights intensity two percent,SetLightBrightness
1269.wav,1.0,Turn the lights blue,lives like,SetLightColor
127.wav,0.2222222222222222,Can you turn off the lights in the cellar?,and you turn on the lights in the cellar,SwitchLightOff
1270.wav,0.5714285714285714,Turn the lights down in the backyard,[noise] during the lights down in the back yard,DecreaseBrightness
1271.wav,0.0,Turn the lights down in the dining room,turn the lights down in the dining room,DecreaseBrightness
1272.wav,0.25,Turn the lights down in the living room.,turn lives down in the living room,DecreaseBrightness
1273.wav,1.0,Turn the lights green,like getting,SetLightColor
1274.wav,0.42857142857142855,Turn the lights in the garden off.,like in the garden off,SwitchLightOff
