,transcript,user_action
0,activate light all like and the entire house,SwitchLightOn
1,activate basement lights,SwitchLightOn
2,adjust the bedroom light intensity of thirty nine,SetLightBrightness
3,can you please change the light color to pink,SetLightColor
4,rid the brightness to toilet,SetLightBrightness
5,set the brightness to twelve,SetLightBrightness
6,set the brightness to twenty,SetLightBrightness
7,the be bring as with raise,SetLightBrightness
8,set the cella to two,SetLightBrightness
9,set the cellar light at twelve,SetLightBrightness
10,set the cellar lights to two,SetLightBrightness
11,rid the entire appartment like to two,SetLightBrightness
12,set the entrance lighting in intensity to twelve,SetLightBrightness
13,set the entrance lights to brighter setting,IncreaseBrightness
14,can you please lower the lights for me,DecreaseBrightness
15,rid the facilities like the twenty nine,SetLightBrightness
16,set the garden in brightness Will level twelve,SetLightBrightness
17,set the hallway lights to pink please,SetLightColor
18,set the intensity of the toilet lighting to two,SetLightBrightness
19,set the kids bedroom lights to five,SetLightBrightness
20,set the changing room bring to ten percent percent,SetLightBrightness
21,set the flat patio us cella to twenty,SetLightBrightness
22,set the light color to blue,SetLightColor
23,set the light dimmer in the office,DecreaseBrightness
24,and you please set the bathroom lights to five,SetLightBrightness
25,set the lights in the laundry room to level two,SetLightBrightness
26,set the lights in the laundry room to seventy-three tree,SetLightBrightness
27,set the lights in toilets to red,SetLightColor
28,set the lights to higher intensity,IncreaseBrightness
29,set the lights to higher intensity in the changing room,IncreaseBrightness
30,set the lights to higher intensity in the living room,IncreaseBrightness
31,set the lights to waste bright to,DecreaseBrightness
32,set the lights to lower intensity,DecreaseBrightness
33,set the lights to green in the large meeting room,SetLightColor
34,turned the light's intensity to twenty two percent percent,SetLightBrightness
35,turned the lights blue,SetLightColor
36,can you turn off the lights in the cellar,SwitchLightOff
37,turn the lights down in the backyard yard,DecreaseBrightness
38,turn the lights down in the dining room,DecreaseBrightness
39,turn the lights down in the living room,DecreaseBrightness
40,laundry made bring,SetLightColor
41,turned the lights in the garden off,SwitchLightOff
42,turned the lights in the large dining room Make,SetLightColor
43,are the lights in the waiting room to have,SetLightBrightness
44,turned the light in the waiting room to thirty nine,SetLightBrightness
45,turn the lights off,SwitchLightOff
46,turn the lights off in the basement,SwitchLightOff
47,can you turn off the lights in the parking room,SwitchLightOff
48,turn the lights off in the dining room,SwitchLightOff
49,turn the lights off in the dining room,SwitchLightOff
50,sun the lights off in the laundry,SwitchLightOff
51,turn the lights off in the office,SwitchLightOff
52,turn the lights off in shed,SwitchLightOff
53,turn the lights off and the toilet,SwitchLightOff
54,turn the flat off laundry,SwitchLightOff
55,turn the lights off,SwitchLightOff
56,from the lights on,SwitchLightOn
57,turned the lights on above the toilets,SwitchLightOn
58,can you turn off the lights please,SwitchLightOff
59,and the light on everywhere,SwitchLightOn
60,turn the light on in appartment,SwitchLightOn
61,turn the light on in the bedroom,SwitchLightOn
62,turned the light on in changing room,SwitchLightOn
63,turn the lights on in the kitchen,SwitchLightOn
64,turned the lights on in the meeting room,SwitchLightOn
65,turn the lights on in the pantry,SwitchLightOn
66,turn the lights on in small meeting room,SwitchLightOn
67,turn the lights on in the studio,SwitchLightOn
68,done the light on now,SwitchLightOn
69,at the brightness to level ten,SetLightBrightness
70,can you turn off the lights,SwitchLightOff
71,turn the lights on pink,SetLightColor
72,turn the lights on please,SwitchLightOn
73,turn the if on the kitchen,SwitchLightOn
74,done the light on,SwitchLightOn
75,turn the lights pink please,SetLightColor
76,turned the lights area in the bedroom,SetLightColor
77,turned the lights to darker setting in the office,DecreaseBrightness
78,turn the lights to higher setting,IncreaseBrightness
79,turn the lights to lower setting,DecreaseBrightness
80,tad stop but in the house,SetLightBrightness
81,can you turn on that from if,SwitchLightOn
82,turn the flat percent notch in the cellar,IncreaseBrightness
83,turn the lights up and notch please,IncreaseBrightness
84,turn the lights up in the entrance,IncreaseBrightness
85,turn the flat Stop in the let,IncreaseBrightness
86,turned the lights up into studio,IncreaseBrightness
87,turn the lights up in the toilets,IncreaseBrightness
88,turn the living room light up,IncreaseBrightness
89,turn the lounge lights red,SetLightColor
90,turned the patio light pink,SetLightColor
91,can you turn on the light,SwitchLightOn
92,turn the studio lights on,SwitchLightOn
93,turn the studio lights the thirty nine,SetLightBrightness
94,turn the vestibule lights to two,SetLightBrightness
95,gimme the vestibule lights up,IncreaseBrightness
96,turn on the waiting room brightness to two,SetLightBrightness
97,here bring large to gimme bedroom,SetLightBrightness
98,turn toilet room lights on,SwitchLightOn
99,turn up the brightness,IncreaseBrightness
100,turn up the brightness and the changing room,IncreaseBrightness
101,turn up the lighting,IncreaseBrightness
102,can you turn to brightness down in the backyard yard,DecreaseBrightness
103,turn up the lights,IncreaseBrightness
104,turn up the lights in the cella,IncreaseBrightness
105,turn up to light in the kids room,IncreaseBrightness
106,turn up lights in the kitchen,IncreaseBrightness
107,turn up the lights in the pantry,IncreaseBrightness
108,turn up the lights in the parking,IncreaseBrightness
109,turn up the lights in the patio,IncreaseBrightness
110,stand appartment the light in the toilets,IncreaseBrightness
111,to up the create,IncreaseBrightness
112,can you turn the brightness to ten,SetLightBrightness
113,turn up the lights,IncreaseBrightness
114,turned able lighting on,SwitchLightOn
115,we have large meeting room need some red lights in there,SetLightColor
116,we need the bulb turned brighter in this room,IncreaseBrightness
117,what do need to do to get the dining room to fifty brightness,SetLightBrightness
118,will you increase the darkness please,IncreaseBrightness
119,will you make the entrance lights area for the afternoon.,SetLightColor
120,we you set the changing room to fifty brightness,SetLightBrightness
121,would you please turn down the brightness,DecreaseBrightness
122,would you please turn on the lights and my cubicle,SwitchLightOn
123,can you turn darkness up in the bedroom,IncreaseBrightness
124,would you switch my kitchen setting to room,SwitchLightOn
125,would you turn on my basement lights,SwitchLightOn
126,would you turn on my basement lights,SwitchLightOn
127,just brightness of lounge lights to value of twenty two,SetLightBrightness
128,are flat off,SwitchLightOff
129,all light off please,SwitchLightOff
130,basement light should be set to twelve,SetLightBrightness
131,basement lights should be turned on,SwitchLightOn
132,bathroom as to twenty two,SetLightBrightness
133,bathroom is too dark increased tad brightness,IncreaseBrightness
134,lounge Will done,SwitchLightOn
135,bathroom lit off,SwitchLightOff
136,the room brightness to two please,SetLightBrightness
137,bedroom light down,DecreaseBrightness
138,boardroom is dark please turn on lights,SwitchLightOn
139,bright flat and kitchen,IncreaseBrightness
140,brighten up the cubicle,IncreaseBrightness
141,bring up the lights,IncreaseBrightness
142,can the give me some light please,SwitchLightOn
143,can you give me some light please in the kitchen,SwitchLightOn
144,can you give me some lights,SwitchLightOn
145,could you turn to cubicle light to twenty two,SetLightBrightness
146,can you increase the brightness,IncreaseBrightness
147,can you increase the brightness in the laundry room,IncreaseBrightness
148,can you increase the brightness of the entire house,IncreaseBrightness
149,can you make the bedroom little darker if possible,DecreaseBrightness
150,can you make the light go blue,SetLightColor
151,you please turn all the light,SwitchLightOn
152,the turned down the lights and here,DecreaseBrightness
153,can the turn off the cellar lights,SwitchLightOff
154,can you area off the house lights,SwitchLightOff
155,you turn of the kids bedroom lights,SwitchLightOff
156,can you turn the lights down one notch,DecreaseBrightness
157,can you sun the light Throughout,DecreaseBrightness
158,turn to lights to color,SetLightColor
159,change on it backyard flat to brightness setting off to,SetLightBrightness
160,changed bedroom lighting to pink,SetLightColor
161,changed brightness of lights in the toilets to done entire,SetLightBrightness
162,changed the color of them to pink,SetLightColor
163,change favor lot of made rid stop,SetLightColor
164,change lamp to pink,SetLightColor
165,change lighting to pink,SetLightColor
166,changed lights to blue,SetLightColor
167,and the turned the lights off,SwitchLightOff
168,change lights to pink,SetLightColor
169,changing the all tad to pink,SetLightColor
170,change light to pink,SetLightColor
171,change the patio like to pink,SetLightColor
172,change the patio like to green,SetLightColor
173,change the way,SetLightColor
174,changing room lighter off please,SwitchLightOff
175,glow are flat in the kitchen room,SwitchLightOff
176,create much and bedroom turned lights to red,SetLightColor
177,cut off the flat in office bulb,SwitchLightOff
178,adjust of brightness to seventy-three tree,SetLightBrightness
179,change all of the garden waiting into for,SetLightBrightness
180,darken the light in the toilet,DecreaseBrightness
181,decrease brightness in cellar,DecreaseBrightness
182,increase brightness in the basement,DecreaseBrightness
183,decrease brightness of bathroom light,DecreaseBrightness
184,decrease brightness please,DecreaseBrightness
185,decreased lights in laundry room to all the way off,SwitchLightOff
186,decreased lighter in the small meeting room,DecreaseBrightness
187,gimme the basement,DecreaseBrightness
188,in the bedroom light,DecreaseBrightness
189,dim the boardroom,DecreaseBrightness
